Channel,Subscriber,View,Income,category
북캐스트,6610,380000,370000,
한인협,6590,1230000,1195000,
나우튜브,6490,790000,770000,
수산나Dance & Fitness,6490,3270000,3185000,
문군MOONGOON,6380,1090000,1060000,
면어의 얼렁뚱땅 캘리그라피,6340,660000,640000,
피터펀TV,6290,990000,970000,
DDong Tae,6230,710000,690000,
마즐래 Wgworking,6100,720000,700000,
아랑비,6000,550000,535000,
현실경제김아나TV,5980,870000,850000,
새만금개발청,5940,760000,740000,
박광온TV,5720,230000,220000,
K부동산월드,5590,480000,470000,
아수라발작,5470,330000,325000,
소상공인지식배움터,5350,350000,340000,
Daey 데이,5340,490000,475000,
Dog Mad,5190,460000,445000,
Dingo Friends,5180,650000,630000,
엘라EllaSongForYou,5140,610000,600000,
패니티비,5130,870000,850000,
Much Too,5090,460000,450000,
썽으니 랜선여행[SUNG Travelog],4940,900000,885000,
아빠가 들려주는TV,4930,550000,535000,
갓파 TV,4870,910000,885000,
페퍼솔트,4860,380000,370000,
봉제톢!H.modelist,4840,420000,410000,
Jesse Holic,4810,730000,710000,
클레이홀릭ClayHolic,4720,3996,3900,
진표TV,4610,160000,155000,
해피할머니 패밀리,4510,510000,500000,
투자반장,4420,210000,200000,
영상으로 취업하자,4300,430000,415000,
뮬리 MUHLY,4270,500000,490000,
춘식이네_Azae12,4270,450000,440000,
조희패션스쿨,4260,360000,350000,
조광덕TV,4230,30000,25000,
쥬얼리성형외과(Jewelry Plastic Surgery),4220,220000,215000,
예쓰이 YeSseui,4190,200000,245000,
박희성의 돈이 되는 퇴근길TV,4160,430000,420000,
이종실,4050,320000,315000,
테이스티코리아TASTY KOREA,4000,480000,475000,
츄잉블vaper,3950,470000,455000,
야자수 TV,3900,340000,325000,
청출예람,3820,320000,315000,
슬기로운 슬대표,3710,140000,140000,
국립생태원,3670,580000,460000,
SUHYANG,3610,240000,190000,
KoreaUniv DSBA,3610,250000,240000,
우원식 TV,3600,160000,160000,
이창현 작가 & 강사의 북스킹,3540,310000,300000,
